IE_XML_ID;updated;IE_NAME;IE_DETAIL_TEXT;IE_ACTIVE;IP_PROP44;IP_PROP45;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP52;IP_PROP53;IP_PROP6;CV_PRICE_1;IP_PROP81;CP_QUANTITY;CP_WEIGHT;IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_DETAIL_PICTURE;IE_PREVIEW_PICTURE;IE_CODE;IC_CODE0;IC_CODE1;IC_CODE2;CV_CURRENCY_1;IP_PROP7
19843;2015-05-05 15:34:00;Счастливый брак;"Эта книга предназначена для супругов, которые не хотят мириться с формальными отношениями в семье и стремятся к формированию того единства души, духа и тела, о котором в Библии сказано: ""... и будут одна плоть"". Книга будет полезна также и консультантам по семейным вопросам.";0;Ларри Крабб;Мирт;2014;60х84/16 (140х205 мм);978-5-88869-302-5;Мягкий;198;;0;149;0;8;0.26;Книги;Брак и семья;Жизнь в браке;19843.jpg;19843.jpg;schastliviy-brak;knigi;brak-i-semya;zhizn-v-brake;UAH;19843
1675;2015-05-05 14:22:00;Как стать героем для своих детей;"Не нужно обладать свеохъестественными качествами, чтобы стать героем для своего ребенка! Вам понадобятся лишь любовь, целеустремленность и реальный план.  
Джош Макдауэлл и Дик Дэй предлагают основанный на  Библии план воспитания детей,  который позволит Вам стать героем  в их глазах. 
Авторы дают множество практических советов.
Б/у издание";0;Джош МакДауэлл, Дик Дэй;Свет на Востоке;2002;60х80/16 (130х200 мм);5-86181-178-4;Мягкий;288;;0;49;0;2;0.26;Книги;Брак и семья;Книги для мужчин;1675.jpg;1675.jpg;kak-stat-geroem-dlya-svoih-detey;knigi;brak-i-semya;knigi-dlya-muzhchin;UAH;1675
8536;2015-05-05 14:21:00;У ног Его. Чтение на каждый день для усовершенствования вашего хождения со Христом;"Эта книга, состоящая из 365 наставлений на каждый день, - для тех, кто хочет усовершенствовать свой путь с Иисусом. Размышляйте над прочитанным - и вы получите наставление, силу, ободрение и побуждение. Вникайте в суть написанного - и вы будете все больше преображаться в образ Автора благой вести.
В течение года обстоятельства вашего жизненного пути будут меняться. Каким бы ни был ваш путь - прямым или извилистым, крутым или пологим, остановитесь на несколько минут, чтобы посидеть у ног Иисуса. Пусть Его мудрость формирует вашу жизнь и направляет ваш путь.
Б/у издание";0;Тайгрин, Крис;Путешествие по Библии;2005;;966-96573-2-6;Твердый;384;;0;99;0;2;0.51;Книги;Художественная литература;Чтение на каждый день;8536.jpg;8536.jpg;u-nog-ego-chtenie-na-kazhdiy-den-dlya-usovershenstvovaniya-vashego-hozhdeniya-so-hristom;knigi;hudozhestvennaya-literatura;chtenie-na-kazhdiy-den;UAH;8536
30;2015-05-05 14:16:00;Руководство церковью. Библейские принципы;Автор этой книги убежден, что христианам следует вернуться к новозаветной модели церковного устройства. Он ясно и доступно представляет библейскую концепцию управления церковью и дает пpaктические советы верующим, которые стремятся установить в своей церкви библейский тип руководства. Александр Строк — выдающийся исследователь Библии, известны и проповедник и автор книг, посвященных вопросам устройства церкви. Окончил христианский университет в Колорадо, магистр практического богословия, преподаватель философии, в течение последних тридцати лет несет служение пресвитера.;0;Александр Строк;Виссон;2014;60х88/16 (140х205 мм);5-93925-075-0;Мягкий;336;;0;89;0;13;0.51;Книги;Лидерство;Лидерство в церкви;30.jpg;30.jpg;rukovodstvo-tserkovyu-bibleyskie-printsipi;knigi;liderstvo;liderstvo-v-tserkvi;UAH;30
1793;2015-05-05 14:16:00;Христос и евреи;"Эта книга - размышления в свете Библии и науки. Встречи и впечатления в СССР, Западной Европе и Палестине.
Посвящается  евреям и христианам.";0;Марцинковский В.;Авторское издание;1995;70х100/32 (110х150 мм);без;Мягкий;109;;0;14;0;3;0.11;Книги;Публицистика;Духовно-назидательная литература;1793.jpg;1793.jpg;hristos-i-evrei;knigi;publitsistika;duhovno-nazidatelnaya-literatura;UAH;1793
5483;2015-05-05 14:16:00;Пособие по руководству Церковью. 12 уроков для подг. церковных руководителей;"Данное пособие представляет собой руководство по подготовке будущих церковных лидеров. Оно состоит из 12-ти уроков, основанных на книге А. Строка ""Руководство церковью. Библейские принципы"".";0;Алексадр Строк;Шандал;2003;60х88/8 (205х260 мм);5-93925-059-9;Мягкий;208;;0;49;0;4;0;Книги;Лидерство;Лидерство в церкви;5483.jpg;5483.jpg;posobie-po-rukovodstvu-tserkovyu-12-urokov-dlya-podg-tserkovnih-rukovoditeley;knigi;liderstvo;liderstvo-v-tserkvi;UAH;5483
9825;2015-05-05 14:16:00;Заповеди гостеприимства;"Заповеди гостеприимства не так широко известны, как Десять заповедей, однако они не менее важны. Многие христиане не знают, что, оказывая гостеприимство, они могут внести существенный вклад в дело Христово и заслужить награду на небесах. Александр Строк объясняет, почему христианин должен исполнять заповеди гостеприимства. В конце книги вы найдете раздел ""Полезные советы: как оказывать гостеприимство"", который поможет применить полученные знания на практике.";0;Строк, Александр;Шандал;2006;; ;Мягкий;94;;0;34;0;5;0.11;Книги;Публицистика;Духовно-назидательная литература;9825.jpg;9825.jpg;zapovedi-gostepriimstva;knigi;publitsistika;duhovno-nazidatelnaya-literatura;UAH;9825
9825;2015-05-05 14:16:00;Заповеди гостеприимства;"Заповеди гостеприимства не так широко известны, как Десять заповедей, однако они не менее важны. Многие христиане не знают, что, оказывая гостеприимство, они могут внести существенный вклад в дело Христово и заслужить награду на небесах. Александр Строк объясняет, почему христианин должен исполнять заповеди гостеприимства. В конце книги вы найдете раздел ""Полезные советы: как оказывать гостеприимство"", который поможет применить полученные знания на практике.";0;Строк, Александр;Шандал;2006;; ;Мягкий;94;;0;34;0;24;0.11;Книги;Публицистика;Духовно-назидательная литература;9825.jpg;9825.jpg;zapovedi-gostepriimstva;knigi;publitsistika;duhovno-nazidatelnaya-literatura;UAH;9825
11112;2015-05-05 14:16:00;Коучинг в христианском служении;"Коучинг - это не душепопечение и не психотерапия; он не для тех, кому требуется помощь в преодолении разрушительного влияния событий прошлого. Помощь при коучинге направлена не столько на решение проблем, сколько на то, чтобы дать возможность людям реализовать свой личностный потенциал. 
В процесс общения человек сосредоточивает свое внимание не на том, что ушло в прошлое, а творчески обдумывает перспективы будущего. Здесь речь идет не об излечении, а о росте. Этот процесс направлен не столько на преодоление слабостей, сколько на совершенствование навыков и умений, на развитие сильных сторон личности. 
Взаимоотношения коуча и его подопечного обычно менее формальны, чем отношения психотерапевта и его пациентов. Это скорее отношения между равными партнерами, при этом один из них обладает опытом и умением видеть перспективы и знаниями, которые могут быть полезны другому.
";0;Гари Коллинз;Мирт;2006;70х90/16 (160х210 мм);5-88869-214-X;Мягкий;412;;0;224;0;5;0.66;Книги;Лидерство;Менеджмент;11112.jpg;11112.jpg;kouching-v-hristianskom-sluzhenii;knigi;liderstvo;menedzhment;UAH;11112
12119;2015-05-05 14:16:00;Движимые вечностью;"Джон Бевир в своей книге ""Движимые вечностью"" обращает внимание читателя на то, что в последние годы большинство церквей правильно акцентировали внимание на том факте, что Бог желает, чтобы мы были успешными. Однако зачастую успех рассматривается больше в том смысле, как его определяет общество, чем в том, как видит его Бог. Успех измеряют временными категориями, а не вечными. Это создает неясность в понимании, что, в свою очередь, приводит к неправильным целям и стремлениям. Однажды мы все будем стоять перед Судьей вселенной, Иисусом Христом, и, если мы прожили жизнь, основанную на божественной мудрости, то получим вечную награду.

Если же мы были направляемы неправильными стремлениями, то будем наказаны или переживем вечную потерю. Поэтому важно потратить свое время на то, чтобы выяснить, чего же ищет Он. Цель и смысл этой книги — помочь прожить жизнь, имеющую значение не только сегодня, но и в вечности. 

""Вот это да! Мощная, захватывающая и смиряющая книга. Я не мог оторваться от нее. Мне бы хотелось, чтобы ее прочитал каждый. Пожалуйста, найдите и вы время для этого"". 
Билл Маккартни, ""Promise Keepers""

""Движимые вечностью"" смело раскрывает одну из величайших загадок человеческого существования – вечности. Ясно и основательно, что характерно для всех книг Джона Бевира, он излагает библейскую мудрость относительно этой темы, вдохновляя читателей прожить жизнь, сфокусированную на вечности"".
Брайан Хьюстон, старший пастор церкви ""Хиллсонг"", Австралия 

""Джон написал удивительную книгу, напоминающую о том, что мы должны жить, поднимаясь над своими сегодняшними обстоятельствами. Он мотивирует нас инвестировать свои ресурсы в вечность, а не в тленные вещи мира сего"". 
Стефан Артерберн, автор бестселлеров";0;Джон Бивер;Светлая звезда;2010;60х90/16 (145х210 мм);966-426-052-5;Мягкий;316;;0;69;0;2;0.32;Книги;Публицистика;Духовно-назидательная литература;12119.jpg;12119.jpg;dvizhimie-vechnostyu;knigi;publitsistika;duhovno-nazidatelnaya-literatura;UAH;12119
