IE_XML_ID;IE_ACTIVE
20439;1;
14929;1;
13487;1;
14204;1;
9963;1;
18963;1;
19402;1;
19608;1;
14813;1;
16881;1;
16882;1;
16879;1;
18728;1;
16880;1;
14134;1;
18727;1;
19401;1;
19607;1;
19880;1;
4698;1;
15884;1;
17471;1;
19504;1;
3553;1;
11011;1;
18720;1;
15932;1;
8934;1;
10757;1;
15624;1;
11631;1;
18269;1;
18270;1;
10756;1;
8928;1;
4742;1;
18709;1;
8925;1;
10762;1;
19939;1;
15633;1;
16266;1;
17474;1;
10754;1;
1262;1;
10468;1;
19961;1;
19186;1;
18573;1;
17527;1;
16964;1;
16212;1;
16364;1;
1053;1;
19422;1;
19635;1;
20068;1;
20241;1;
14337;1;
16510;1;
19921;1;
19643;1;
18852;1;
18203;1;
17950;1;
18415;1;
18208;1;
18953;1;
18606;1;
16513;1;
16506;1;
16655;1;
16549;1;
16222;1;
17522;1;
17523;1;
14803;1;
17207;1;
17429;1;
12053;1;
18410;1;
18411;1;
18412;1;
18851;1;
18834;1;
17817;1;
17818;1;
19841;1;
19321;1;
19322;1;
20141;1;
19897;1;
17945;1;
17785;1;
18227;1;
18307;1;
18438;1;
18468;1;
12294;1;
16905;1;
17528;1;
16512;1;
16515;1;
16516;1;
16520;1;
16697;1;
15158;1;
14810;1;
12528;1;
14602;1;
19960;1;
20070;1;
20220;1;
20279;1;
18571;1;
12680;1;
16627;1;
1356;1;
1736;1;
1480;1;
1762;1;
526;1;
5471;1;
5732;1;
4850;1;
9156;1;
10516;1;
10885;1;
11488;1;
7112;1;
16550;1;
16408;1;
16409;1;
17701;1;
15701;1;
15824;1;
15418;1;
12591;1;
12984;1;
12414;1;
11908;1;
14500;1;
12976;1;
18413;1;
18554;1;
18856;1;
18887;1;
19068;1;
19074;1;
19079;1;
19071;1;
19072;1;
19086;1;
19095;1;
19100;1;
19134;1;
18287;1;
18108;1;
20216;1;
20208;1;
20209;1;
20244;1;
20353;1;
20419;1;
20200;1;
20129;1;
19830;1;
19853;1;
19997;1;
19305;1;
19319;1;
19139;1;
19155;1;
19647;1;
18443;1;
18798;1;
14377;1;
14642;1;
14521;1;
12547;1;
13315;1;
15380;1;
15506;1;
14375;1;
15412;1;
15940;1;
17695;1;
17749;1;
16244;1;
8633;1;
12536;1;
18893;1;
19709;1;
19929;1;
19827;1;
19320;1;
18835;1;
18202;1;
18305;1;
14663;1;
17173;1;
16067;1;
15796;1;
17322;1;
17524;1;
17525;1;
16820;1;
18209;1;
18437;1;
18836;1;
18604;1;
18646;1;
18647;1;
18635;1;
18306;1;
18426;1;
17946;1;
17951;1;
19604;1;
19605;1;
20069;1;
20067;1;
15939;1;
16086;1;
12512;1;
3990;1;
4480;1;
7828;1;
10634;1;
14808;1;
14915;1;
14997;1;
16489;1;
16519;1;
17203;1;
17174;1;
17954;1;
17694;1;
18679;1;
18892;1;
18580;1;
17944;1;
20242;1;
16514;1;
15413;1;
12263;1;
9086;1;
8987;1;
4801;1;
14507;1;
15816;1;
16505;1;
20066;1;
18289;1;
18734;1;
20177;1;
19454;1;
15086;1;
16243;1;
17205;1;
11959;1;
19790;1;
19920;1;
18833;1;
18822;1;
17947;1;
4502;1;
17956;1;
18885;1;
12872;1;
13712;1;
14916;1;
20065;1;
19603;1;
19884;1;
18648;1;
19358;1;
5389;1;
19914;1;
19885;1;
18099;1;
18100;1;
18273;1;
17497;0;
17539;1;
18272;1;
17977;1;
18584;1;
20138;1;
2072;1;
7690;1;
6955;1;
19535;1;
12373;1;
19687;1;
19890;1;
13108;1;
17428;1;
5825;1;
12273;1;
